valence,year,acousticness,artists_combined,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artist_count,artist_1,genre,anomaly
0.00213,1938,0.895,['Benny Goodman'],0.208,21040,0.999,0,2FnSJPoTbC0wi1oYF8GhNx,0.858,10,0.953,-18.687,0,Applause for Second Encore - Live,0,1/1/1938,0.0635,93.605,1,Benny Goodman,swing,-1
1e-05,1938,0.636,['Benny Goodman'],0.2,23560,0.999,0,2NBCbZg7Bwa0NThk43OWSp,0.743,7,0.95,-23.878,1,Applause; BG Quartet Continues but Change Program - Live,0,1/1/1938,0.202,76.544,1,Benny Goodman,swing,-1
0.00311,1938,0.599,['Benny Goodman'],0.269,21733,0.999,0,30sixQcUtHCZg3wvFLUDU8,0.464,1,0.953,-17.565,1,Applause; Transition Back to Goodman Orchestra - Live,0,1/1/1938,0.0446,77.509,1,Benny Goodman,swing,-1
0.0,1938,0.0,['Benny Goodman'],0.0,5991,0.0,0,3IcXTeq9O2dpsSXsDj9naH,0.0,0,0.0,-60.0,0,Pause Track - Live,0,1/1/1938,0.0,0.0,1,Benny Goodman,swing,-1
1e-05,1938,0.315,['Benny Goodman'],0.305,26640,1.0,0,4MeVaz1Ki3nEofHif86bAd,0.717,9,0.366,-20.422,0,Applause as Lionel Hampton Enters - Live,0,1/1/1938,0.237,123.257,1,Benny Goodman,swing,-1
0.0,1938,0.0,['Benny Goodman'],0.0,6362,0.0,0,523qs4UcGlQ6ycdha1VGqs,0.0,0,0.0,-60.0,0,Pause Track - Live,0,1/1/1938,0.0,0.0,1,Benny Goodman,swing,-1
0.139,1938,0.992,['Lead Belly'],0.312,318955,0.598,0,59EEKQf9WvRcpX8way27lI,0.0019,4,0.372,-15.601,1,Dick Licker's Holler (154-A),1,1/1/1938,0.881,77.351,1,Lead Belly,folk,-1
0.609,1942,0.927,"['Lata Mangeshkar', 'Kishore Kumar']",0.273,206947,0.78,0,0UE2kePV0rCTllG3JfHgT6,0.888,0,0.666,-6.835,0,Jai Bholenath Jai Ho Prabhu,1,12/1/1942,0.0868,84.751,2,Lata Mangeshkar,classical,-1
0.579,1943,0.988,['Lata Mangeshkar'],0.518,170480,0.0939,0,429fOH7czSy6kCW5CTuKxX,0.936,1,0.327,-16.116,0,Ka Rusava Ha Lataka,0,12/1/1943,0.171,70.405,1,Lata Mangeshkar,classical,-1
0.0388,1958,0.903,"['Louis Armstrong', 'Ella Fitzgerald']",0.134,650667,0.151,0,159pOXfbpvaeyjsxKM37i6,0.784,1,0.353,-15.936,1,Porgy And Bess: Overture,30,1/1/1958,0.0396,76.52,2,Louis Armstrong,jazz,-1
0.453,1959,0.996,['Bill Evans'],0.493,41707,0.0771,0,6C1kvVTbIWMwvLYSzc9ypg,0.938,2,0.286,-21.685,0,Epilogue,31,1/1/1959,0.233,65.894,1,Bill Evans,modal jazz,-1
0.101,1968,0.769,['The Beatles'],0.208,502013,0.615,0,5dZ8PeKKZJLIQAWNTdp8WX,0.118,2,0.824,-15.297,0,Revolution 9 - Remastered 2009,46,11/22/1968,0.342,91.158,1,The Beatles,Rock,-1
0.0352,1968,0.227,['Pink Floyd'],0.137,716693,0.778,0,0OtkNB4TnTzrlid4zipYDV,0.9,11,0.106,-12.711,1,A Saucerful of Secrets,46,6/29/1968,0.211,87.705,1,Pink Floyd,psychedelia,-1
0.145,1972,0.917,['Nick Drake'],0.578,81067,0.0226,0,4XFZey4zmgQV551M0hfaUg,0.823,1,0.139,-20.664,1,Horn,50,2/25/1972,0.173,137.052,1,Nick Drake,Folk,-1
0.113,1974,0.105,['Kraftwerk'],0.333,1367093,0.497,0,31uidLEHAcF8Cw1cX1VCS8,0.872,2,0.129,-15.606,1,Autobahn - 2009 Remaster,48,1/1/1974,0.0366,81.681,1,Kraftwerk,Electronic,-1
0.0368,1978,0.982,['Brian Eno'],0.26,1041520,0.00397,0,3bCmDqflFBHijgJfvtqev5,0.913,2,0.102,-31.095,1,1/1 - Remastered 2004,51,1/1/1978,0.0406,82.862,1,Brian Eno,Ambient,-1
0.0333,1978,0.945,['Brian Eno'],0.119,534213,0.0758,0,1Qr6LFKNBFNNa2y6nMDO31,0.973,8,0.0497,-23.943,1,2/1 - Remastered 2004,46,1/1/1978,0.0536,94.577,1,Brian Eno,Ambient,-1
